class,order,family,genus,species,taxon,gapfill,match_rank,vuln_gf_id
demospongiae,suberitida,suberitidae,aaptos,aaptos aaptos,sponges,none,class,1
demospongiae,suberitida,suberitidae,aaptos,aaptos alphiensis,sponges,none,class,2
demospongiae,suberitida,suberitidae,aaptos,aaptos bergmanni,sponges,none,class,3
demospongiae,suberitida,suberitidae,aaptos,aaptos ciliata,sponges,none,class,4
demospongiae,suberitida,suberitidae,aaptos,aaptos conferta,sponges,none,class,5
demospongiae,suberitida,suberitidae,aaptos,aaptos duchassaingi,sponges,none,class,6
demospongiae,suberitida,suberitidae,aaptos,aaptos durissima,sponges,none,class,7
demospongiae,suberitida,suberitidae,aaptos,aaptos globosa,sponges,none,class,8
demospongiae,suberitida,suberitidae,aaptos,aaptos glutinans,sponges,none,class,9
demospongiae,suberitida,suberitidae,aaptos,aaptos hajdui,sponges,none,class,10
demospongiae,suberitida,suberitidae,aaptos,aaptos horrida,sponges,none,class,11
demospongiae,suberitida,suberitidae,aaptos,aaptos kanuux,sponges,none,class,12
demospongiae,suberitida,suberitidae,aaptos,aaptos laxosuberites,sponges,none,class,13
demospongiae,suberitida,suberitidae,aaptos,aaptos lobata,sponges,none,class,14
demospongiae,suberitida,suberitidae,aaptos,aaptos niger,sponges,none,class,15
demospongiae,suberitida,suberitidae,aaptos,aaptos nuda,sponges,none,class,16
demospongiae,suberitida,suberitidae,aaptos,aaptos papillata,sponges,none,class,17
demospongiae,suberitida,suberitidae,aaptos,aaptos pernucleata,sponges,none,class,18
demospongiae,suberitida,suberitidae,aaptos,aaptos potiguarensis,sponges,none,class,19
demospongiae,suberitida,suberitidae,aaptos,aaptos robustus,sponges,none,class,20
demospongiae,suberitida,suberitidae,aaptos,aaptos rosacea,sponges,none,class,21
demospongiae,suberitida,suberitidae,aaptos,aaptos simplex,sponges,none,class,22
demospongiae,suberitida,suberitidae,aaptos,aaptos suberitoides,sponges,none,class,23
demospongiae,suberitida,suberitidae,aaptos,aaptos tenta,sponges,none,class,24
demospongiae,suberitida,suberitidae,aaptos,aaptos vannamei,sponges,none,class,25
actinopterygii,tetraodontiformes,balistidae,abalistes,abalistes filamentosus,fish,family,NA,26
actinopterygii,tetraodontiformes,balistidae,abalistes,abalistes stellaris,fish,family,NA,27
