category,trait,trait_value,trait_val_clean,spp_gp,sheet,cat_vals
movement,planktonic larval duration (pld),<1 week mostly; some 4 months-1 yr,<1weekmostly,Acropora,corals,NA
movement,planktonic larval duration (pld),<1 week mostly; some 4 months-1 yr,some4months1yr,Acropora,corals,NA
specialisation,across-stage dependent habitats + condition,"coral reef, surface waters",coralreefsurfacewaters,Acropora,corals,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Acropora,corals,NA
biophysical traits,respiration structures,diffusiion,diffusiion,Acropora,corals,NA
movement,planktonic larval duration (pld),<1 week mostly; some 4 months-1 yr,<1weekmostly,Porites,corals,NA
movement,planktonic larval duration (pld),<1 week mostly; some 4 months-1 yr,some4months1yr,Porites,corals,NA
r (reproductive traits),lifetime # reproductive opportunities,500+,500,Porites,corals,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5/5-10,15510,Porites,corals,NA
r (reproductive traits),max age,>500yrs,>500yrs,Porites,corals,NA
r (reproductive traits),parental investment,spawner/brooder,spawnerbrooder,Porites,corals,NA
specialisation,across-stage dependent habitats + condition,"coral reef, surface waters",coralreefsurfacewaters,Porites,corals,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Porites,corals,NA
movement,planktonic larval duration (pld),<1 week mostly; some 4 months-1 yr,<1weekmostly,Pocillopora,corals,NA
movement,planktonic larval duration (pld),<1 week mostly; some 4 months-1 yr,some4months1yr,Pocillopora,corals,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 yr,15yr,Pocillopora,corals,NA
r (reproductive traits),parental investment,spawner/brooder,spawnerbrooder,Pocillopora,corals,NA
specialisation,across-stage dependent habitats + condition,"coral reef, surface waters",coralreefsurfacewaters,Pocillopora,corals,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Pocillopora,corals,NA
movement,planktonic larval duration (pld),<1 week mostly; some 4 months-1 yr,<1weekmostly,Diploastrea heliopora,corals,NA
movement,planktonic larval duration (pld),<1 week mostly; some 4 months-1 yr,some4months1yr,Diploastrea heliopora,corals,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5/5-10,15510,Diploastrea heliopora,corals,NA
specialisation,across-stage dependent habitats + condition,"coral reef, surface waters",coralreefsurfacewaters,Diploastrea heliopora,corals,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Diploastrea heliopora,corals,NA
r (reproductive traits),lifetime # reproductive opportunities,26 to 50,26to50,Nymphon australe (pycnogonida),crustacea_arthropods,NA
r (reproductive traits),age to 1st reproduction/generation time,5-10 yrs (data for another Nymphon species),510yrsdataforanothernymphonspecies,Nymphon australe (pycnogonida),crustacea_arthropods,NA
r (reproductive traits),parental investment,egg care,eggcare,Nymphon australe (pycnogonida),crustacea_arthropods,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes,yes,Nymphon australe (pycnogonida),crustacea_arthropods,NA
